0 0 0.707107
0.01 0 0.7
0.02 0 0.69282
0.03 0 0.685565
0.04 0 0.678233
0.05 0 0.67082
0.06 0 0.663325
0.07 0 0.655744
0.08 0 0.648074
0.09 0 0.640312
0.1 0 0.632456
0.11 0 0.6245
0.12 0 0.616441
0.13 0 0.608276
0.14 0 0.6
0.15 0 0.591608
0.16 0 0.583095
0.17 0 0.574456
0.18 0 0.565685
0.19 0 0.556776
0.2 0 0.547723
0.21 0 0.538516
0.22 0 0.52915
0.23 0 0.519615
0.24 0 0.509902
0.25 0 0.5
0.26 0 0.489898
0.27 0 0.479583
0.28 0 0.469042
0.29 0 0.458258
0.3 0 0.447214
0.31 0 0.43589
0.32 0 0.424264
0.33 0 0.412311
0.34 0 0.4
0.35 0 0.387298
0.36 0 0.374166
0.37 0 0.360555
0.38 0 0.34641
0.39 0 0.331662
0.4 0 0.316228
0.41 0 0.3
0.42 0 0.282843
0.43 0 0.264575
0.44 0 0.244949
0.45 0 0.223607
0.46 0 0.2
0.47 0 0.173205
0.48 0 0.141421
0.49 0 0.1
0.5 0 0
0.51 0 0
0.52 0 0
0.53 0 0
0.54 0 0
0.55 0 0
0.56 0 0
0.57 0 0
0.58 0 0
0.59 0 0
0.6 0 0
0.61 0 0
0.62 0 0
0.63 0 0
0.64 0 0
0.65 0 0
0.66 0 0
0.67 0 0
0.68 0 0
0.69 0 0
0.7 0 0
0.71 0 0
0.72 0 0
0.73 0 0
0.74 0 0
0.75 0 0
0.76 0 0
0.77 0 0
0.78 0 0
0.79 0 0
0.8 0 0
0.81 0 0
0.82 0 0
0.83 0 0
0.84 0 0
0.85 0 0
0.86 0 0
0.87 0 0
0.88 0 0
0.89 0 0
0.9 0 0
0.91 0 0
0.92 0 0
0.93 0 0
0.94 0 0
0.95 0 0
0.96 0 0
0.97 0 0
0.98 0 0
0.99 0 0
1 0 0
0 2e-05 0.700007
0.01 2e-05 0.700007
0.02 2e-05 0.692828
0.03 2e-05 0.685573
0.04 2e-05 0.67824
0.05 2e-05 0.670828
0.06 2e-05 0.663332
0.07 2e-05 0.655751
0.08 2e-05 0.648082
0.09 2e-05 0.64032
0.1 2e-05 0.632463
0.11 2e-05 0.624508
0.12 2e-05 0.61645
0.13 2e-05 0.608284
